Sample Index,Input Length (nchar),Metadata Length (nchar),Output Length (nchar)
0,802,0,276
1,461,3484,165
2,212,1041,234
3,593,1277,394
4,236,9662,822
5,52,327,183
6,526,327,394
7,65,176,212
8,313,2344,895
9,227,1494,274
10,115,1334,557
11,1269,326,91
12,522,327,394
13,303,0,238
14,1899,1494,994
15,9925,3484,1359
16,180,1334,453
17,1042,1353,417
18,441,1266,475
19,1815,1041,303
20,13817,8476,466
21,642,3299,1785
22,1292,1266,187
23,1264,1277,1017
24,2331,1494,306
25,687,1754,273
26,149,1334,175
27,672,1225,682
28,40,55,271
29,1046,1277,490
30,874,230,148
31,955,8476,162
32,316,1332,326
33,3271,4259,1036
34,1766,9314,693
35,359,0,281
36,6368,8952,7574
37,313,2344,893
38,445,0,317
39,320,1332,358
40,440,1277,457
41,878,2289,1082
42,277,1494,367
43,424,1266,200
44,281,1494,457
45,563,1754,187
46,1055,9524,975
47,670,1266,304
48,1021,1058,245
49,910,1277,791
50,932,326,255
51,2199,1277,806
52,116,239,194
53,596,1277,394
54,401,1754,107
55,588,1332,303
56,401,1332,230
57,1480,8476,180
58,119,1266,418
59,694,2506,249
60,220,1334,355
61,278,1277,406
62,1339,8477,310
63,595,1334,419
64,830,1277,522
65,198,1332,352
66,1115,55,509
67,146,1266,203
68,172,5303,383
69,831,1332,406
70,160,1041,275
71,332,0,376
72,352,1334,639
73,890,9214,213
74,432,55,574
75,1152,55,509
76,277,1494,399
77,1400,1334,387
78,3466,1277,1102
79,1491,1494,772
80,1291,1041,1379
81,6914,3484,1418
82,98,1058,286
83,134,1332,348
84,174,1334,483
85,150,1277,172
86,5029,4768,2095
87,657,1041,485
88,919,1686,840
89,701,1334,510
90,3247,10136,4033
91,115,1334,558
92,474,8522,770
93,640,1266,214
94,241,1334,385
95,366,1353,198
96,265,55,188
97,219,1277,451
98,115,1277,443
99,203,1266,422
100,1251,1277,699
101,906,1494,450
102,925,4671,716
103,427,1058,266
104,516,8522,362
105,66,176,212
106,226,473,124
107,2730,8476,277
108,822,1332,406
109,529,1332,184
110,138,3683,261
111,1111,8477,468
112,144,1494,357
113,59,176,212
114,115,1334,557
115,2301,1277,464
116,2317,1277,464
117,2301,1277,954
118,8657,261,104
119,367,3484,232
120,150,1332,163
121,590,1334,419
122,324,55,234
123,537,9616,831
124,2018,1277,837
125,3604,8653,502
126,1387,1321,229
127,2817,8477,206
128,2164,5303,530
129,222,1041,172
130,1460,1666,177
131,410,1266,236
132,221,1334,177
133,179,8522,374
134,402,1334,371
135,4101,9214,941
136,1249,1277,985
137,1084,1277,835
138,605,1494,1035
139,2298,1277,464
140,237,1494,306
141,146,1332,330
142,1021,8477,241
143,1052,2181,815
144,67,55,309
145,402,1334,403
146,809,1233,1413
147,2811,1277,1134
148,538,1266,472
149,526,8653,473
150,332,1494,534
151,1137,230,180
152,227,3683,1639
153,44211,8476,1012
154,141,1041,345
155,222,1494,184
156,1058,55,580
157,2282,1002,204
158,8478,6756,1459
159,2329,326,219
160,2937,1494,186
161,1386,1041,215
162,332,1332,249
163,563,8522,306
164,1249,326,156
165,1106,8476,320
166,1234,5385,1865
167,597,1277,836
168,535,5303,435
169,239,1058,445
170,1869,391,422
171,1231,261,77
172,807,0,306
173,380,55,527
174,284,1334,410
175,4045,176,196
176,418,9214,545
177,1155,98,508
178,3043,1277,1134
179,61,1334,180
180,1046,1277,522
181,440,440,667
182,134,1494,288
183,282,1277,233
184,1214,8476,504
185,110,55,94
186,913,345,719
187,298,1334,444
188,5540,3484,248
189,466,8477,282
190,771,3683,2665
191,800,1494,276
192,184,11081,6993
193,203,1277,97
194,262,177,172
195,219,1277,453
196,887,1494,473
197,323,1277,189
198,216,1353,366
199,1041,3484,679
200,81,1041,249
201,16849,6989,1712
202,109,176,247
203,1177,3484,243
204,226,1266,219
205,52,327,183
206,1085,1277,1148
207,85,55,158
208,665,8477,261
209,738,1058,436
210,1272,0,626
211,174,1334,170
212,42,177,246
213,64,176,212
214,277,1494,399
215,483,1332,358
216,591,1334,316
217,361,1266,538
218,177,1277,470
219,835,8477,311
220,559,8477,694
221,180,1277,479
222,2891,1266,1275
223,177,1277,469
224,63,176,212
225,4845,1277,715
226,237,1494,306
227,36,55,269
228,521,327,394
229,95,0,209
230,1856,1266,876
231,65,176,212
232,203,1058,746
233,56,327,150
234,1173,1277,501
235,5243,3683,227
236,915,1277,821
237,549,322,761
238,559,1041,298
239,750,327,394
240,970,1306,1178
241,873,3484,380
242,2305,1277,464
243,140,1334,280
244,1531,3484,663
245,150,1041,170
246,1482,1277,1134
247,1651,98,346
248,1057,9524,1040
249,326,1332,174
250,144,1332,318
251,77,5303,160
252,865,9214,256
253,508,5303,445
254,260,1266,232
255,422,1334,399
256,625,1494,244
257,438,1277,489
258,1416,1754,274
259,3817,8476,157
260,56,327,182
261,52,327,183
262,903,538,1152
263,276,1334,214
264,688,3683,3711
265,652,230,180
266,568,3806,734
267,1348,8522,501
268,909,8476,173
269,150,1494,182
270,278,1277,406
271,241,1334,431
272,646,1494,1033
273,823,8476,205
274,288,8477,490
275,469,1058,270
276,666,98,133
277,177,1277,448
278,230,1334,387
279,1249,1277,1149
280,42,98,345
281,208,1277,277
282,228,1494,490
283,541,1332,752
284,522,327,394
285,647,2289,1523
286,1086,55,509
287,524,327,394
288,376,3484,247
289,782,8522,369
290,276,98,264
291,540,8522,88
292,585,1494,1073
293,146,1332,362
294,81,1277,318
295,10214,10432,2288
296,642,3299,1788
297,886,1277,416
298,783,1225,765
299,598,1277,835
300,146,1332,362
301,2515,8476,174
302,2607,1233,528
303,1851,9016,2731
304,261,1266,204
305,446,1754,173
306,115,1277,444
307,337,9662,758
308,237,1494,306
309,503,5303,306
310,177,1277,449
311,357,1353,375
312,596,1277,362
313,174,1332,470
314,1255,3665,1638
315,278,1277,406
316,172,1332,268
317,2420,3683,2297
318,65,176,212
319,2247,3299,1310
320,140,55,176
321,2145,3484,181
322,278,1277,374
323,53,176,203
324,969,3299,1431
325,878,2289,1115
326,3271,1277,715
327,230,1334,387
328,2173,176,196
329,134,1332,316
330,64,98,339
331,1166,3484,257
332,970,3299,1404
333,877,55,938
334,765,9314,607
335,791,1494,276
336,858,9314,647
337,439,1277,489
338,3341,55,8951
339,56,327,183
340,1366,55,284
341,647,2289,1523
342,867,1277,835
343,273,8476,309
344,7583,1266,219
345,765,9314,575
346,276,1277,233
347,892,1277,155
348,277,1494,399
349,242,5303,408
350,263,55,218
351,399,1334,243
352,305,1277,335
353,242,8522,362
354,618,1277,835
355,10181,1494,37583
356,431,1041,210
357,642,2289,1525
358,473,8522,462
359,736,1332,375
360,97,1058,241
361,652,55,719
362,2231,7434,2136
363,1483,3484,163
364,7702,1334,37140
365,364,8476,188
366,1361,1041,269
367,668,1266,215
368,152,1494,188
369,686,8657,271
370,186,8522,364
371,638,3299,1788
372,219,1277,452
373,23547,3484,517
374,573,1494,508
375,109,5303,430
376,5808,3484,334
377,265,1334,207
378,313,2344,895
379,159,55,94
380,95,176,238
381,1720,1277,416
382,1517,0,180
383,1270,8477,295
384,1809,9314,509
385,1705,1494,1071
386,5016,3683,1154
387,12887,3806,498
388,1177,1277,533
389,600,1277,394
390,618,55,189
391,282,1277,233
392,623,318,91
393,43,55,211
394,115,1334,557
395,67,176,212
396,970,3299,1339
397,81,1332,244
398,1346,1277,449
399,553,1277,204
400,2559,1334,190
401,5295,1334,353
402,307,8522,413
403,1595,292,237
404,4300,2954,264
405,726,1334,501
406,417,1332,377
407,186,1494,385
408,171,55,156
409,241,8522,316
410,159,1334,360
411,1698,55,228
412,429,1494,227
413,364,55,276
414,305,1277,335
415,364,1041,170
416,786,1494,276
417,66,1334,171
418,174,1041,477
419,4172,8477,309
420,4420,8522,316
421,2506,8476,338
422,761,230,179
423,52,327,183
424,1017,1266,212
425,822,8476,205
426,177,1058,311
427,191,1332,370
428,52,327,183
429,559,8476,163
430,65,176,212
431,244,1810,871
432,439,1277,489
433,576,6421,466
434,177,1277,448
435,2609,1277,464
436,441,55,442
437,878,1266,171
438,1789,1277,834
439,1275,1041,1351
440,2301,1277,921
441,107,1041,397
442,624,8476,243
443,276,55,264
444,99,1058,242
445,402,1334,411
446,15621,3683,1500
447,20060,5249,3918
448,1204,1277,697
449,635,0,370
450,150,5303,218
451,895,261,133
452,2508,8476,177
453,642,3299,1785
454,184,55,175
455,584,1277,500
456,578,3484,255
457,642,3299,1785
458,183,1225,343
459,368,0,271
460,191,1332,370
461,155,1494,192
462,226,1754,113
463,1533,1332,186
464,314,2344,895
465,1046,1277,522
466,59,176,212
467,84,1334,255
468,910,1058,247
469,313,2344,893
470,182,1334,261
471,4583,8476,177
472,326,1332,358
473,1278,1041,1352
474,76,1041,285
475,536,8522,249
476,109,176,247
477,134,1332,348
478,1246,1277,667
479,1201,1041,1347
480,137,2954,191
481,244,1517,676
482,368,0,111
483,1478,3484,204
484,305,1277,360
485,597,230,180
486,191,1332,370
487,390,1334,177
488,1373,8476,451
489,1208,3683,254
490,134,1332,348
491,829,440,706
492,386,8476,618
493,1472,1266,243
494,1170,1277,533
495,7264,3484,491
496,787,9662,868
497,143,8522,402
498,181,1041,490
499,1943,1277,818
500,445,8476,417
501,537,9616,799
